K,Seed_A,Seed_B,NMI,Consistency,ISI
2,seed_42_aa_2,seed_43_aa_2,0.68414664,-38.19705241245631,0.3371894095272136
2,seed_42_aa_2,seed_44_aa_2,0.7537814,-27.366671099220945,0.32065235149376486
2,seed_42_aa_2,seed_45_aa_2,0.7640384,-24.707992425775455,0.305322915134841
2,seed_42_aa_2,seed_46_aa_2,0.62427944,-49.70913914799146,0.3815246190860847
2,seed_43_aa_2,seed_44_aa_2,0.72893745,-31.140376318315923,0.3234197005714833
2,seed_43_aa_2,seed_45_aa_2,0.6939311,-37.713810831960494,0.3343246066441031
2,seed_43_aa_2,seed_46_aa_2,0.6548863,-45.66379248109027,0.3761312300274863
2,seed_44_aa_2,seed_45_aa_2,0.78961027,-24.84094773014173,0.3198351478350262
2,seed_44_aa_2,seed_46_aa_2,0.6738471,-37.45615346346433,0.37329676978439763
2,seed_45_aa_2,seed_46_aa_2,0.60377705,-51.730743363905994,0.3831429914602961
3,seed_42_aa_3,seed_43_aa_3,0.72219175,-39.015907768846326,0.3336167909947679
3,seed_42_aa_3,seed_44_aa_3,0.7287242,-37.3558047260051,0.328002781472167
3,seed_42_aa_3,seed_45_aa_3,0.71255237,-34.73295148478483,0.3311912099402199
3,seed_42_aa_3,seed_46_aa_3,0.71260726,-38.22440596166587,0.35218040830700204
3,seed_43_aa_3,seed_44_aa_3,0.8107287,-28.93679762645399,0.33170578708657156
3,seed_43_aa_3,seed_45_aa_3,0.78650653,-28.442660231829073,0.3315709082133684
3,seed_43_aa_3,seed_46_aa_3,0.75614536,-33.498026727926664,0.35414995331132315
3,seed_44_aa_3,seed_45_aa_3,0.7858684,-27.829673617689938,0.3330259136147192
3,seed_44_aa_3,seed_46_aa_3,0.74121976,-34.19818200099557,0.36359470398902655
3,seed_45_aa_3,seed_46_aa_3,0.7762069,-30.368666778885924,0.35396569979107234
4,seed_42_aa_4,seed_43_aa_4,0.77111036,-44.14823259717927,0.36443159004209763
4,seed_42_aa_4,seed_44_aa_4,0.796216,-38.61996746631856,0.37806646533378685
4,seed_42_aa_4,seed_45_aa_4,0.8090769,-37.336698106155744,0.3639520858418896
4,seed_42_aa_4,seed_46_aa_4,0.83039653,-38.0072009244045,0.3581780471706064
4,seed_43_aa_4,seed_44_aa_4,0.7574162,-41.62138302240396,0.39597463171766817
4,seed_43_aa_4,seed_45_aa_4,0.7837262,-45.61822106872152,0.3703848311970014
4,seed_43_aa_4,seed_46_aa_4,0.791116,-45.423780953688464,0.3695449283024682
4,seed_44_aa_4,seed_45_aa_4,0.80659145,-36.19156501292664,0.38164209810381633
4,seed_44_aa_4,seed_46_aa_4,0.8009522,-37.637092722302214,0.38189734449931184
4,seed_45_aa_4,seed_46_aa_4,0.8231885,-41.66072265569166,0.36993525264791555
5,seed_42_aa_5,seed_43_aa_5,0.80216926,-36.671882528642435,0.376972110672153
5,seed_42_aa_5,seed_44_aa_5,0.8176112,-36.4470125464171,0.3651949388482184
5,seed_42_aa_5,seed_45_aa_5,0.8396839,-33.27325465240928,0.3819850353630572
5,seed_42_aa_5,seed_46_aa_5,0.8168409,-30.974083420209777,0.3750587681189975
5,seed_43_aa_5,seed_44_aa_5,0.8392638,-35.66474743121386,0.3607924706196233
5,seed_43_aa_5,seed_45_aa_5,0.8138901,-37.26996685592019,0.3839901087537517
5,seed_43_aa_5,seed_46_aa_5,0.8135837,-33.829570559413554,0.38133336111623617
5,seed_44_aa_5,seed_45_aa_5,0.8246985,-38.396640184821116,0.3811796198942279
5,seed_44_aa_5,seed_46_aa_5,0.8314379,-34.86931568116371,0.371413842958011
5,seed_45_aa_5,seed_46_aa_5,0.84248024,-32.020202411190475,0.39014517114660074
6,seed_42_aa_6,seed_43_aa_6,0.8443191,-33.38714330141731,0.3557015953218211
6,seed_42_aa_6,seed_44_aa_6,0.837936,-34.61623101043673,0.3577019821804841
6,seed_42_aa_6,seed_45_aa_6,0.8444334,-32.14529989017166,0.3573136355601498
6,seed_42_aa_6,seed_46_aa_6,0.8409328,-35.47955295534871,0.3611950854968019
6,seed_43_aa_6,seed_44_aa_6,0.8443826,-32.94115280033156,0.3683937670244556
6,seed_43_aa_6,seed_45_aa_6,0.8922418,-24.758297151781253,0.3536960981167836
6,seed_43_aa_6,seed_46_aa_6,0.8721823,-30.79353338829727,0.36855795129099694
6,seed_44_aa_6,seed_45_aa_6,0.8670096,-29.114261107212737,0.3630679491302974
6,seed_44_aa_6,seed_46_aa_6,0.8543258,-32.381764519532915,0.3704202105230913
6,seed_45_aa_6,seed_46_aa_6,0.89304376,-23.845699023463247,0.35561858781134553
7,seed_42_aa_7,seed_43_aa_7,0.8798417,-29.755928993134823,0.3627122705064661
7,seed_42_aa_7,seed_44_aa_7,0.8704539,-29.94655511865825,0.37068858013803196
7,seed_42_aa_7,seed_45_aa_7,0.8844193,-31.066283880694414,0.3729958929884485
7,seed_42_aa_7,seed_46_aa_7,0.8703866,-30.46749445719794,0.3560835373924266
7,seed_43_aa_7,seed_44_aa_7,0.86651397,-29.87586753037437,0.3602558480652668
7,seed_43_aa_7,seed_45_aa_7,0.8882371,-32.3425398471766,0.3689676801930789
7,seed_43_aa_7,seed_46_aa_7,0.8810588,-29.453352923000725,0.3493327534069806
7,seed_44_aa_7,seed_45_aa_7,0.87437636,-29.756858935275833,0.3753093259941872
7,seed_44_aa_7,seed_46_aa_7,0.87189436,-31.00634962455895,0.3600900588260127
7,seed_45_aa_7,seed_46_aa_7,0.8701415,-34.82934565920842,0.369932786405825
